item_id,by,rating,blurb,url
627dd2f3-1e6e-4553-b587-4485eb38d50a,Austen Allred,,,
8e588d18-20dc-4dec-8945-8d8f943963bd,Austen Allred,,,
28e337c8-e800-4dba-a2c4-cc3f2809d675,Austen Allred,,,
25136c93-38a0-4378-a132-78395e3c0465,Austen Allred,,,
b74ad765-8242-4530-8d06-f16f51830cbc,Austen Allred,,,
702f9394-30e6-43c0-b077-1177a7e913d7,Austen Allred,,,
012bb9c3-3a79-499d-96fa-a409b45b8cd9,Austen Allred,,,
1bb436d9-4fb7-4abb-b617-c20c943dda66,Austen Allred,,,
80f9542b-4cae-4df6-bb27-eef96f5939f8,Austen Allred,,,
f6e78767-4c33-44db-b8f2-711c57a34f57,Austen Allred,,,
30df6a6f-9f81-4783-ba46-bcf0c967a2a0,Austen Allred,,,
66a87233-4d06-43cd-a0a1-3626ebe6fe3d,Austen Allred,,,
61fda7b5-8a57-45d7-96aa-72046b7970eb,Austen Allred,,,
fbf39c7a-038e-467b-89e0-4303fc4be23d,Austen Allred,,,
23023767-e908-4263-9163-041ce462dc3f,Sheryl Sandberg,,,
88be493c-1935-48dc-92cc-3fd3e12a948f,Sheryl Sandberg,,,
92ef016a-1515-4389-9738-5ea561de37de,Sheryl Sandberg,,,
dd42fb71-ed8d-4c38-b36e-cec50be3ae30,Sheryl Sandberg,,,
a516c47c-351f-433d-a1e9-5c60217f2040,Sheryl Sandberg,,,
48a13827-0c65-4247-9727-c554839e4351,Sheryl Sandberg,,,
91e08b99-4b22-47f7-b878-9f9f03e724c7,Sheryl Sandberg,,,
0f89c161-46d8-4aaf-970d-abfa80fba659,Sheryl Sandberg,,,
1d23c32d-ddd6-466b-b32d-f75287fa2290,Sheryl Sandberg,,,
08bc6a15-9986-4989-93c9-92b2338db979,Satya Nadella,,,
5330e3bc-a5e0-4cea-ad10-6fe8ca83a863,Satya Nadella,,,
192c6e3b-f972-4b85-99da-380be17d16ea,Satya Nadella,,,
4c446bf0-c561-4694-a1e2-2cacae907a87,Satya Nadella,,,
0de6d2be-463f-4df6-89ed-5a415704a24b,Satya Nadella,,,
9ccf2f0a-dc35-45d0-b700-efac7ee5a248,Satya Nadella,,,
a6ca3eed-d386-4f7e-a223-29d1ea1fbf8d,Satya Nadella,,,
caff54c2-2ba4-4895-bf39-08517b315d28,Satya Nadella,,,
4cff29ec-6899-419d-8784-3f9f1356ad42,Satya Nadella,,,
77acce13-cffd-4907-81f7-f34895e21c12,Satya Nadella,,,
